Country,Clicks,Impressions,CTR,Position
Australia,6,178,3.37%,25.95
United States,3,1958,0.15%,70.48
Sweden,2,14,14.29%,45
South Africa,1,33,3.03%,47.27
Netherlands,1,24,4.17%,57.29
Venezuela,1,14,7.14%,80.36
Thailand,1,12,8.33%,24.5
Austria,1,8,12.5%,67.25
Brazil,0,456,0%,76.66
United Kingdom,0,253,0%,64.21
Russia,0,168,0%,72.92
Italy,0,140,0%,80.51
India,0,127,0%,57.22
Vietnam,0,91,0%,74.14
Canada,0,89,0%,50.47
Germany,0,76,0%,68.86
South Korea,0,74,0%,85.96
Mexico,0,61,0%,70.26
France,0,47,0%,68.13
Japan,0,44,0%,39.95
Indonesia,0,44,0%,57.55
Argentina,0,34,0%,76.09
Philippines,0,31,0%,56.16
Turkey,0,30,0%,39.07
Spain,0,23,0%,58.52
Ecuador,0,23,0%,74.78
Lithuania,0,22,0%,87.64
Colombia,0,20,0%,60.25
Malaysia,0,20,0%,72.5
Ukraine,0,19,0%,72.74
Poland,0,16,0%,48.88
Singapore,0,15,0%,63.4
Bangladesh,0,14,0%,71.07
Chile,0,13,0%,61.85
Algeria,0,13,0%,67.62
Egypt,0,13,0%,78.38
Saudi Arabia,0,13,0%,81.08
Morocco,0,12,0%,66.42
Tunisia,0,11,0%,73.82
Hong Kong,0,10,0%,49.6
Peru,0,10,0%,74
Pakistan,0,9,0%,56.33
United Arab Emirates,0,9,0%,62.44
Romania,0,9,0%,73
Iraq,0,9,0%,87.56
Czechia,0,8,0%,36.12
Trinidad & Tobago,0,8,0%,71.5
Taiwan,0,8,0%,80.25
Ireland,0,7,0%,53.43
Nepal,0,7,0%,64.86
Jordan,0,7,0%,77
Bulgaria,0,7,0%,79.71
Moldova,0,7,0%,86.14
Norway,0,6,0%,42.5
Denmark,0,6,0%,50.83
Paraguay,0,6,0%,61.33
Uzbekistan,0,6,0%,72.5
Switzerland,0,6,0%,83.83
Unknown Region,0,6,0%,87.83
Kazakhstan,0,6,0%,92.83
Cambodia,0,5,0%,6
Finland,0,5,0%,48.4
New Zealand,0,5,0%,53.6
Iran,0,5,0%,55
Belarus,0,5,0%,65.2
Barbados,0,5,0%,79.6
Jamaica,0,5,0%,83.4
Ethiopia,0,4,0%,43.75
Bosnia & Herzegovina,0,4,0%,48.75
Puerto Rico,0,3,0%,13.67
Uganda,0,3,0%,25.33
Malta,0,3,0%,56.33
Ghana,0,3,0%,70.33
Croatia,0,3,0%,70.33
Dominican Republic,0,3,0%,73.67
Portugal,0,3,0%,75.33
Costa Rica,0,3,0%,82.67
Azerbaijan,0,3,0%,88.67
Latvia,0,3,0%,96.67
Liberia,0,2,0%,2
Slovakia,0,2,0%,40.5
Bolivia,0,2,0%,46
Serbia,0,2,0%,51.5
Lebanon,0,2,0%,52
Hungary,0,2,0%,57
Sri Lanka,0,2,0%,58.5
Albania,0,2,0%,60
Greece,0,2,0%,63
Belgium,0,2,0%,63.5
Georgia,0,2,0%,69.5
Nigeria,0,2,0%,70.5
Kenya,0,2,0%,71.5
Qatar,0,2,0%,74.5
Bahrain,0,2,0%,77
Grenada,0,2,0%,82
Panama,0,2,0%,85
China,0,2,0%,92
Palestine,0,2,0%,94.5
Rwanda,0,2,0%,102
Togo,0,1,0%,2
Estonia,0,1,0%,6
Israel,0,1,0%,9
Namibia,0,1,0%,9
Fiji,0,1,0%,10
Zimbabwe,0,1,0%,25
Tanzania,0,1,0%,51
Jersey,0,1,0%,52
El Salvador,0,1,0%,53
Malawi,0,1,0%,55
St. Kitts & Nevis,0,1,0%,57
Kuwait,0,1,0%,59
Guyana,0,1,0%,75
Honduras,0,1,0%,82
Iceland,0,1,0%,83
Nicaragua,0,1,0%,84
St. Lucia,0,1,0%,85
Uruguay,0,1,0%,89
Antigua & Barbuda,0,1,0%,95
Madagascar,0,1,0%,99
Myanmar (Burma),0,1,0%,101
