Content,Video title,Video publish time,Duration,Average view duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,0:00:37,27884,288.9707,115,164796,1.94
BHIN692uxKU,"Life Priority Setting: Smart Life Choices, Way To Success! #priorities","Nov 25, 2023",298,0:01:55,1028,32.9311,11,2308,9.53
JJK0dkKc1pw,"hopes and dreams, Interstellar 👁️👌🏽","Feb 6, 2024",53,0:00:24,2735,18.0502,3,2099,6.15
iZh6mwcKdac,Boosting Confidence: Overcoming Low Self-Esteem Challenges!,"Dec 17, 2023",386,0:01:41,607,17.1697,6,4803,2.08
lPhXHutGnLk,Time Traveling with Life Compass for Stress Treatment,"Feb 1, 2024",526,0:00:26,2347,17.0466,20,4104,1.12
d_yY5lXwyB4,"Dating Tips: Alpha Male Strategies Attraction, God Is A Woman!","Dec 22, 2023",157,0:01:05,666,12.0966,9,18359,2.82
UnRzGVRP7y0,Low Mood Treatment: Rapid Techniques for an Immediate Uplift!,"Dec 11, 2023",139,0:00:38,1099,11.7833,14,4622,2.99
h9VJr45cuqQ,"cinema therapy, BATMAN 🦹🏽","Feb 10, 2024",21,0:00:16,2533,11.2551,2,4906,1.67
JbH6opToWTk,Enjoy Life Status: Cultivating Self-Love for Everyday Joy!,"Dec 7, 2023",18,0:00:44,914,11.1827,4,7716,1.45
PT81obPToZ4,"After Death Of My Wife And Child, My Critical Two Hours Journey","Dec 31, 2023",714,0:01:31,394,9.9628,3,23447,1.17
pD5ItpOFPWI,Modern Life Dating: Mastering the Art of Seducing a Man! #seduction,"Jan 13, 2024",105,0:00:25,1210,8.7246,3,9692,1.02
 -aIynsiV4eY,"cinema therapy, joker 🥲🍿","Feb 7, 2024",18,0:00:13,1919,6.8794,3,6300,1.59
qwBnfzgGszM,"pet therapy, CAT 😺","Feb 10, 2024",13,0:00:13,1564,5.9204,11,164,3.05
W_NH1txWI1E,"Mental Disorders: Mental Health Skills, Self-Care Routines!","Dec 2, 2023",184,0:02:23,140,5.5904,0,1086,3.87
J7n7s1FZhdM,"Thrive, Cherish, Giggle: Embrace the Hustle, Relish the Fun!","Dec 9, 2023",22,0:00:18,1040,5.3251,5,1256,4.3
oOg4_HPuoWQ,"10 Signs of Depression: Feelings, Symptoms, and Behavior Changes!","Dec 26, 2023",196,0:01:24,213,5.013,1,10815,1.43
LmfMVMM88TM,Identifying Red Flags: 10 Key Indicators of Low Self-Esteem!,"Dec 6, 2023",60,0:00:29,544,4.4162,4,889,2.25
ExE-MQmVdTE,Self-Care Tips: Mental Outlaw Vs Mental Health Awareness!,"Dec 23, 2023",116,0:00:43,334,4.013,0,4709,1.7
7EWmGvuYgLU,What Is Stress? Stress Management Techniques! Stress Relief Exercise!,"Jan 6, 2024",721,0:01:30,147,3.7037,1,7421,1.55
G8zmscwjB0w,Empowering Self-Esteem: 6 Strategies to Boost Confidence!,"Dec 10, 2023",77,0:00:40,310,3.4928,2,2482,1.69
L1HggJ4cv04,Unlocking Peace of Mind: Mastering Anxiety with a Worry Diary,"Jan 25, 2024",709,0:01:42,111,3.1595,1,5046,1.7
uTzgYs2LjFw,LGBT Identity: The Role of Therapy and Hormone Treatments,"Dec 28, 2023",216,0:01:29,119,2.9544,0,6502,1.2
2-FlopgY3c4,Fueling Ambition: Measuring Your Drive for Success!,"Dec 10, 2023",20,0:00:24,398,2.7286,2,1488,2.49
3oeOLrjD8TU,6 Proven Exercises: Enhancing Your Self-Esteem Journey!,"Dec 9, 2023",59,0:02:11,79,2.6744,0,1509,1.99
-97vKt_hZQ4,Identifying 10 Critical Indicators of Low Self-Esteem! #loveyourself,"Dec 9, 2023",88,0:01:11,134,2.6629,0,1101,3.18
nhgLhMhkguQ,"nature sounds, easy mind therapy","Feb 10, 2024",14,0:00:19,390,2.1483,0,88,4.55
nVWWDxavYro,Find the right path to your goal 💪🏽 #mindset #motivation,"Mar 15, 2024",11,0:03:11,39,2.0771,0,31,6.45
SN8BalVxXB8,Anxiety Relief: What Is Anxiety Disorder? #anxiety,"Jan 16, 2024",730,0:01:10,93,1.8192,0,3438,1.8
tcM6C6UvGmg,Hope Story: A Tale of Resilience and Illumination #inspirational,"Jan 1, 2024",165,0:02:10,47,1.7077,0,813,3.08
xuN5ncWQOiQ,"Mood Swings: Bipolar Disorder, The Speed Of Changing My Mood!","Jan 5, 2024",18,0:00:15,382,1.6838,1,1932,2.8
 -J2hUpUh9dI,The Pursuit of Happiness ❤️,"Feb 9, 2024",26,0:00:13,437,1.6046,0,170,2.94
rvjTkNZmRYM,Watch this before it’s too late!!!!!  Mental health before and during war and crises situation,"Feb 14, 2024",1185,0:03:15,28,1.5194,0,157,10.19
ETjA0XPJQuk,"Non-Stop Relaxing Music For Stress Relief And Anxiety (432 Hz), Nature Vibes No Ads","Feb 23, 2024",4271,0:04:24,19,1.395,0,56,1.79
XSfhbima97A,Watch out for 5 Signs to recognize if your friend is fake!!!! OMG!!!,"Jan 19, 2024",170,0:01:07,56,1.0439,0,2320,1.59
7aF2iNBoq5Q,Cognitive Behavioral Therapy: 6 Signs You Need Mental Help!,"Jan 4, 2024",72,0:00:45,81,1.0135,1,2432,2.51
uDBviSHuyxU,Personal Growth Path: 14 Game-Changing Tips for a Growth Mindset!,"Dec 18, 2023",16,0:00:14,216,0.8896,1,2368,0.89
